"Zeit","anomalies"
1940-08-01,0.028
1940-09-01,0.238
1940-10-01,0.037
1940-11-01,0.113
1940-12-01,0.288
1941-01-01,-0.104
1941-02-01,0.25
1941-03-01,-0.404
1941-04-01,-0.083
1941-05-01,0.004
1941-06-01,0.179
1941-07-01,0.184
1941-08-01,0.081
1941-09-01,-0.102
1941-10-01,0.308
1941-11-01,-0.284
1941-12-01,-0.315
1942-01-01,-0.018
1942-02-01,-0.661
1942-03-01,-0.432
1942-04-01,-0.156
1942-05-01,-0.113
1942-06-01,0.146
1942-07-01,-0.015
1942-08-01,-0.135
1942-09-01,0.111
1942-10-01,0.329
1942-11-01,0.128
1942-12-01,0.131
1943-01-01,-0.539
1943-02-01,0.483
1943-03-01,-0.335
1943-04-01,0.34
1943-05-01,0.283
1943-06-01,-0.177
1943-07-01,0.006
1943-08-01,0.115
1943-09-01,0.175
1943-10-01,0.541
1943-11-01,0.185
1943-12-01,0.502
1944-01-01,1.047
1944-02-01,0.54
1944-03-01,0.122
1944-04-01,-0.121
1944-05-01,0.183
1944-06-01,-0.014
1944-07-01,0.033
1944-08-01,0.114
1944-09-01,0.413
1944-10-01,0.418
1944-11-01,-0.117
1944-12-01,-0.618
1945-01-01,-0.431
1945-02-01,-0.667
1945-03-01,-0.273
1945-04-01,0.242
1945-05-01,-0.211
1945-06-01,-0.109
1945-07-01,-0.15
1945-08-01,0.354
1945-09-01,0.205
1945-10-01,0.224
1945-11-01,-0.093
1945-12-01,-0.889
1946-01-01,0.343
1946-02-01,0.253
1946-03-01,-0.265
1946-04-01,0.453
1946-05-01,-0.172
1946-06-01,-0.137
1946-07-01,-0.012
1946-08-01,0.012
1946-09-01,0.088
1946-10-01,-0.068
1946-11-01,0.095
1946-12-01,-0.777
1947-01-01,-0.48
1947-02-01,-0.55
1947-03-01,0.07
1947-04-01,0.301
1947-05-01,-0.058
1947-06-01,-0.097
1947-07-01,-0.018
1947-08-01,0.149
1947-09-01,0.245
1947-10-01,0.757
1947-11-01,0.179
1947-12-01,-0.162
1948-01-01,0.741
1948-02-01,-0.038
1948-03-01,-0.378
1948-04-01,0.138
1948-05-01,0.332
1948-06-01,0.155
1948-07-01,-0.065
1948-08-01,0.096
1948-09-01,0.098
1948-10-01,0.254
1948-11-01,0.229
1948-12-01,-0.289
1949-01-01,0.613
1949-02-01,-0.26
